25,25,25,25,25,25,25,25,9,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,9,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,9,25,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,51,52,51,52,63,25,25,25,25,25,25,25,9,25,25
25,25,67,68,67,68,62,25,53,54,55,56,57,58,127,25,25
25,25,59,60,60,60,61,25,54,54,55,56,57,57,126,127,25
25,25,25,9,25,25,25,25,54,54,55,56,57,57,126,126,25
25,25,25,25,25,25,25,25,53,54,55,56,57,58,126,126,25
25,25,25,25,25,25,25,25,125,126,126,126,126,126,126,126,25
25,25,25,25,25,51,52,63,25,125,126,126,126,126,126,126,25
25,25,25,25,25,67,68,62,25,25,25,25,25,25,25,25,25
25,25,25,25,25,59,60,61,25,25,25,25,25,25,9,25,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
51,51,51,51,51,51,51,51,51,51,69,67,67,67,67,67,67
25,51,51,51,51,51,51,51,51,51,85,67,67,67,71,67,67
51,51,51,51,51,51,51,51,51,51,69,67,67,67,67,67,67
25,51,51,51,51,51,51,51,51,51,101,67,67,67,67,67,67
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,25,25,25,86,87,63,25,25
25,25,25,25,25,25,25,25,25,25,25,25,59,60,61,25,25
25,25,25,25,25,25,25,25,25,25,25,25,25,102,103,63,25
25,25,25,25,25,25,25,25,25,25,25,25,25,59,60,61,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,9,25,25
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
65,65,41,65,65,65,65,65,65,65,65,65,65,65,65,65,65
65,65,65,65,65,6,7,7,7,7,7,7,7,8,65,65,41
65,65,65,65,65,22,23,23,23,23,23,23,23,24,65,65,65
65,65,65,41,65,22,23,23,23,23,23,23,23,24,65,65,65
65,65,65,65,65,22,23,23,23,23,23,23,23,24,65,65,65
65,65,65,65,65,22,23,23,23,23,23,23,23,24,65,65,65
65,41,65,65,65,22,23,23,23,23,23,23,23,24,65,65,65
65,65,65,65,65,22,23,23,23,23,23,23,23,24,65,65,65
65,65,65,65,65,38,39,39,39,39,39,39,39,40,65,41,65
65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,9,25,25
25,25,25,83,83,84,84,110,9,25,25,25,25,25,25,25,25
25,25,25,99,99,100,100,110,25,25,25,25,26,26,26,26,25
25,25,25,83,83,84,84,110,25,25,25,25,26,26,26,26,25
25,25,25,99,99,100,100,110,25,25,25,25,25,25,25,25,25
25,25,9,107,108,108,108,109,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
