23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
23,23,128,131,131,131,23,23,23,23,128,131,131,131,131,23,23
23,23,130,23,23,23,23,23,23,23,23,23,23,23,23,23,23
23,23,23,23,128,129,23,23,23,23,23,23,128,129,23,23,23
23,23,23,23,144,145,23,23,23,23,23,23,144,145,23,23,23
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
23,23,23,23,23,23,23,23,132,132,23,23,23,23,23,23,23
23,23,23,23,23,23,23,23,132,132,23,23,23,23,23,23,23
23,23,23,23,23,23,23,23,73,73,23,23,23,23,23,23,23
23,23,23,23,23,23,23,23,23,150,23,23,23,23,23,23,23
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
23,23,23,23,90,90,130,90,90,90,90,90,90,90,23,23,23
23,23,23,23,146,146,146,146,146,146,146,146,146,146,23,23,23
23,23,23,23,147,147,147,147,147,147,147,147,147,147,23,23,23
23,23,23,23,90,90,90,90,90,90,90,90,90,90,23,23,23
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
1,1,1,1,1,1,2,23,23,23,23,23,23,23,23,23,23
17,17,17,17,12,13,18,23,23,23,23,23,23,23,23,23,23
17,17,17,17,28,29,18,23,23,23,23,23,23,23,23,23,23
17,17,17,17,33,33,34,23,23,23,23,23,23,23,23,23,23
